Number,Arrival time,X1,X2,X3,,,,,
1,8:00,13,11,24,,,X1,X2,X3
2,8:00,15,10,25,,MEAN,12,11,23
3,8:00,13,14,26,,,,,
4,8:00,13,9,22,,,,,
5,8:00,15,11,26,,,,,
6,8:00,11,14,25,,,,,
7,8:00,14,10,25,,,,,
8,8:01,11,9,20,,,,,
9,8:01,10,11,21,,,,,
10,8:01,12,13,25,,,,,
11,8:01,11,12,23,,,,,
12,8:01,12,10,22,,,,,
13,8:01,10,11,21,,,,,
14,8:01,9,11,20,,,,,
15,8:02,11,13,23,,,,,
16,8:02,11,12,23,,,,,
17,8:03,12,14,26,,,,,
18,8:03,12,11,23,,,,,
19,8:03,15,10,24,,,,,
20,8:03,11,8,20,,,,,
21,8:04,12,10,22,,,,,
22,8:04,14,9,23,,,,,
23,8:04,13,11,23,,,,,
24,8:04,14,8,22,,,,,
25,8:04,12,12,25,,,,,
26,8:05,11,11,22,,,,,
27,8:05,11,11,21,,,,,
28,8:05,10,13,24,,,,,
29,8:05,14,13,27,,,,,
30,8:05,10,12,23,,,,,
31,8:06,12,11,22,,,,,
32,8:06,11,9,20,,,,,
33,8:06,12,13,25,,,,,
34,8:07,11,8,19,,,,,
35,8:07,15,9,24,,,,,
36,8:07,14,8,22,,,,,
37,8:07,14,9,23,,,,,
38,8:08,13,10,23,,,,,
39,8:08,10,8,18,,,,,
40,8:09,13,11,25,,,,,
41,8:09,11,13,24,,,,,
42,8:09,12,13,25,,,,,
43,8:09,12,13,25,,,,,
44,8:10,10,11,21,,,,,
45,8:10,10,14,24,,,,,
46,8:11,12,13,25,,,,,
47,8:11,11,10,21,,,,,
48,8:11,11,13,24,,,,,
49,8:11,10,13,22,,,,,
50,8:12,13,14,27,,,,,
51,8:12,12,10,22,,,,,
52,8:12,10,9,19,,,,,
53,8:12,11,11,21,,,,,
54,8:13,15,12,27,,,,,
55,8:13,11,8,19,,,,,
56,8:13,10,9,19,,,,,
57,8:14,14,11,25,,,,,
58,8:14,10,13,23,,,,,
59,8:14,12,14,26,,,,,
60,8:14,11,12,23,,,,,
61,8:14,10,9,19,,,,,
62,8:15,12,9,21,,,,,
63,8:15,9,11,21,,,,,
64,8:15,10,10,19,,,,,
65,8:15,10,11,20,,,,,
66,8:16,13,12,25,,,,,
67,8:16,10,13,24,,,,,
68,8:16,10,14,24,,,,,
69,8:17,12,12,25,,,,,
70,8:17,11,9,20,,,,,
71,8:17,12,11,23,,,,,
72,8:17,11,12,23,,,,,
73,8:17,13,9,22,,,,,
74,8:17,9,11,20,,,,,
75,8:18,14,11,25,,,,,
76,8:18,12,9,20,,,,,
77,8:18,11,12,23,,,,,
78,8:19,13,9,21,,,,,
79,8:19,14,14,28,,,,,
80,8:19,14,9,23,,,,,
81,8:19,14,13,27,,,,,
82,8:20,14,8,22,,,,,
83,8:20,13,12,25,,,,,
84,8:20,9,9,18,,,,,
85,8:21,14,10,23,,,,,
86,8:21,12,12,24,,,,,
87,8:21,13,10,23,,,,,
88,8:21,10,12,22,,,,,
89,8:21,13,12,25,,,,,
90,8:22,12,14,26,,,,,
91,8:22,11,12,23,,,,,
92,8:22,10,10,20,,,,,
93,8:22,14,9,23,,,,,
94,8:22,10,9,19,,,,,
95,8:23,13,10,23,,,,,
96,8:23,11,11,22,,,,,
97,8:23,10,10,20,,,,,
98,8:24,11,12,23,,,,,
99,8:24,11,13,24,,,,,
100,8:24,10,9,20,,,,,
101,8:24,12,12,24,,,,,
102,8:25,15,12,27,,,,,
103,8:25,13,9,23,,,,,
104,8:25,15,11,26,,,,,
105,8:25,11,11,22,,,,,
106,8:26,13,10,23,,,,,
107,8:26,14,10,24,,,,,
108,8:26,11,10,21,,,,,
109,8:27,13,9,23,,,,,
110,8:27,14,13,27,,,,,
111,8:27,13,12,25,,,,,
112,8:27,13,13,26,,,,,
113,8:28,10,12,23,,,,,
