Number,Arrival time,X1,X2,X3,,,,,
1,8:00,7,7,14,,,X1,X2,X3
2,8:00,7,8,16,,MEAN,7,7,14
3,8:00,6,6,12,,,,,
4,8:00,4,9,13,,,,,
5,8:00,7,6,13,,,,,
6,8:01,6,8,15,,,,,
7,8:01,9,7,16,,,,,
8,8:01,7,5,12,,,,,
9,8:01,5,8,13,,,,,
10,8:01,7,8,15,,,,,
11,8:01,7,7,14,,,,,
12,8:01,7,5,12,,,,,
13,8:01,8,7,16,,,,,
14,8:01,4,7,12,,,,,
15,8:01,8,8,16,,,,,
16,8:02,6,6,12,,,,,
17,8:03,7,7,15,,,,,
18,8:03,5,8,14,,,,,
19,8:03,6,5,11,,,,,
20,8:03,7,7,14,,,,,
21,8:04,8,5,14,,,,,
22,8:04,6,8,14,,,,,
23,8:04,5,6,11,,,,,
24,8:04,6,5,12,,,,,
25,8:05,6,7,13,,,,,
26,8:05,9,8,16,,,,,
27,8:05,10,6,15,,,,,
28,8:05,9,7,16,,,,,
29,8:05,9,7,17,,,,,
30,8:06,10,5,15,,,,,
31,8:06,9,9,18,,,,,
32,8:06,5,8,13,,,,,
33,8:07,9,9,18,,,,,
34,8:07,8,6,15,,,,,
35,8:07,8,5,14,,,,,
36,8:07,4,6,10,,,,,
37,8:07,5,7,12,,,,,
38,8:08,7,7,13,,,,,
39,8:08,7,9,16,,,,,
40,8:09,7,7,14,,,,,
41,8:09,8,6,14,,,,,
42,8:09,7,6,13,,,,,
43,8:09,5,6,11,,,,,
44,8:10,9,8,17,,,,,
45,8:10,7,5,12,,,,,
46,8:11,8,5,13,,,,,
47,8:11,9,6,15,,,,,
48,8:11,9,5,15,,,,,
49,8:11,6,7,13,,,,,
50,8:11,8,5,13,,,,,
51,8:12,4,6,10,,,,,
52,8:12,8,7,15,,,,,
53,8:12,9,5,14,,,,,
54,8:12,6,9,15,,,,,
55,8:13,4,7,12,,,,,
56,8:13,9,5,14,,,,,
57,8:13,6,7,13,,,,,
58,8:14,5,6,11,,,,,
59,8:14,7,9,16,,,,,
60,8:14,9,7,16,,,,,
61,8:14,8,6,14,,,,,
62,8:14,9,8,18,,,,,
63,8:15,5,9,13,,,,,
64,8:15,9,7,16,,,,,
65,8:15,8,8,16,,,,,
66,8:15,10,6,16,,,,,
67,8:15,7,8,15,,,,,
68,8:16,5,6,11,,,,,
69,8:16,6,8,14,,,,,
70,8:16,7,7,13,,,,,
71,8:17,9,8,18,,,,,
72,8:17,8,5,13,,,,,
73,8:17,7,8,15,,,,,
74,8:17,8,7,15,,,,,
75,8:17,6,8,14,,,,,
76,8:17,6,6,12,,,,,
77,8:18,9,9,18,,,,,
78,8:18,8,9,17,,,,,
79,8:18,9,5,14,,,,,
80,8:19,6,7,13,,,,,
81,8:19,8,8,16,,,,,
82,8:19,5,7,12,,,,,
83,8:19,7,8,15,,,,,
84,8:19,6,9,14,,,,,
85,8:20,9,9,18,,,,,
86,8:21,10,8,17,,,,,
87,8:22,9,5,15,,,,,
88,8:23,6,8,14,,,,,
89,8:23,5,9,14,,,,,
90,8:23,8,6,14,,,,,
91,8:23,4,8,12,,,,,
92,8:24,4,5,9,,,,,
93,8:24,6,8,14,,,,,
94,8:24,8,6,15,,,,,
95,8:24,6,6,12,,,,,
96,8:25,7,5,12,,,,,
97,8:25,6,5,12,,,,,
98,8:25,5,7,12,,,,,
99,8:25,7,7,14,,,,,
100,8:26,9,8,16,,,,,
101,8:26,7,8,15,,,,,
102,8:26,4,9,13,,,,,
103,8:27,4,7,12,,,,,
104,8:27,8,7,16,,,,,
105,8:27,6,8,14,,,,,
106,8:27,8,8,16,,,,,
107,8:27,6,8,14,,,,,
108,8:28,5,7,12,,,,,
109,8:28,4,7,11,,,,,
110,8:28,7,5,13,,,,,
111,8:29,7,7,14,,,,,
112,8:29,9,9,17,,,,,
113,8:29,6,6,12,,,,,
114,8:29,6,5,11,,,,,
115,8:29,7,7,14,,,,,
116,8:30,4,7,11,,,,,
117,8:30,10,7,16,,,,,
118,8:30,9,7,15,,,,,
119,8:30,5,8,13,,,,,
120,8:30,9,8,17,,,,,
121,8:31,10,7,17,,,,,
