Number,Arrival time,X1,X2,X3,,,,,
1,8:00,11,14,25,,,X1,X2,X3
2,8:00,11,16,26,,MEAN,9,17,26
3,8:00,9,15,24,,,,,
4,8:00,8,17,25,,,,,
5,8:00,7,16,23,,,,,
6,8:01,9,19,28,,,,,
7,8:01,9,14,23,,,,,
8,8:01,9,19,28,,,,,
9,8:01,10,14,24,,,,,
10,8:01,9,15,25,,,,,
11,8:02,7,14,21,,,,,
12,8:02,11,17,28,,,,,
13,8:02,8,18,26,,,,,
14,8:02,10,16,27,,,,,
15,8:03,11,16,27,,,,,
16,8:03,10,14,25,,,,,
17,8:03,10,15,25,,,,,
18,8:03,7,20,27,,,,,
19,8:04,10,17,26,,,,,
20,8:04,10,18,28,,,,,
21,8:04,8,19,27,,,,,
22,8:05,9,16,24,,,,,
23,8:06,9,16,25,,,,,
24,8:06,11,19,30,,,,,
25,8:06,11,15,26,,,,,
26,8:06,8,20,28,,,,,
27,8:07,10,16,25,,,,,
28,8:07,8,16,24,,,,,
29,8:07,10,17,26,,,,,
30,8:07,11,15,26,,,,,
31,8:07,8,14,22,,,,,
32,8:07,8,19,27,,,,,
33,8:08,11,19,30,,,,,
34,8:08,9,15,24,,,,,
35,8:08,9,20,28,,,,,
36,8:08,9,14,23,,,,,
37,8:08,8,15,24,,,,,
38,8:09,7,19,26,,,,,
39,8:09,10,18,28,,,,,
40,8:09,8,15,23,,,,,
41,8:09,7,15,22,,,,,
42,8:09,9,16,25,,,,,
43,8:09,9,19,29,,,,,
44,8:10,9,20,29,,,,,
45,8:10,11,15,26,,,,,
46,8:11,9,17,26,,,,,
47,8:11,8,17,25,,,,,
48,8:11,9,19,28,,,,,
49,8:11,9,15,24,,,,,
50,8:11,9,15,25,,,,,
51,8:11,8,15,23,,,,,
52,8:11,9,18,27,,,,,
53,8:11,9,18,27,,,,,
54,8:12,7,14,22,,,,,
55,8:12,10,19,29,,,,,
56,8:12,11,15,26,,,,,
57,8:12,10,20,30,,,,,
58,8:13,8,18,26,,,,,
59,8:13,9,16,25,,,,,
60,8:13,8,16,24,,,,,
61,8:13,8,20,28,,,,,
62,8:13,8,15,23,,,,,
63,8:13,11,15,26,,,,,
64,8:13,7,17,24,,,,,
65,8:14,10,20,30,,,,,
66,8:15,10,17,26,,,,,
67,8:15,8,15,23,,,,,
68,8:15,8,19,27,,,,,
69,8:15,10,17,26,,,,,
70,8:15,11,17,28,,,,,
71,8:15,10,17,27,,,,,
72,8:15,8,17,26,,,,,
73,8:16,10,15,25,,,,,
74,8:16,9,15,24,,,,,
75,8:16,7,17,24,,,,,
76,8:16,10,17,27,,,,,
77,8:17,8,15,22,,,,,
78,8:17,11,16,27,,,,,
79,8:17,8,16,25,,,,,
80,8:17,10,16,26,,,,,
81,8:17,11,16,27,,,,,
82,8:17,8,16,24,,,,,
83,8:17,10,19,30,,,,,
84,8:17,10,18,28,,,,,
85,8:18,9,17,26,,,,,
86,8:18,11,16,27,,,,,
87,8:19,8,20,28,,,,,
88,8:19,11,18,29,,,,,
89,8:19,7,15,23,,,,,
90,8:19,10,18,28,,,,,
91,8:19,10,20,29,,,,,
92,8:19,9,17,26,,,,,
93,8:19,11,14,25,,,,,
94,8:20,9,18,27,,,,,
95,8:20,10,20,30,,,,,
96,8:20,10,17,28,,,,,
97,8:20,8,18,25,,,,,
98,8:20,8,18,25,,,,,
99,8:21,8,15,23,,,,,
100,8:21,8,17,26,,,,,
101,8:21,9,17,25,,,,,
102,8:21,9,16,25,,,,,
103,8:21,9,20,29,,,,,
104,8:21,11,16,27,,,,,
105,8:22,9,15,24,,,,,
106,8:22,8,15,23,,,,,
107,8:22,10,19,28,,,,,
108,8:23,8,18,26,,,,,
109,8:23,10,17,27,,,,,
110,8:23,10,15,26,,,,,
111,8:23,9,19,28,,,,,
112,8:23,8,15,22,,,,,
113,8:23,8,20,28,,,,,
114,8:23,8,18,25,,,,,
115,8:24,10,17,27,,,,,
116,8:24,9,20,29,,,,,
117,8:24,8,15,23,,,,,
118,8:24,8,18,26,,,,,
119,8:25,9,14,23,,,,,
120,8:25,10,17,27,,,,,
121,8:25,10,20,29,,,,,
122,8:25,11,15,25,,,,,
123,8:25,10,20,29,,,,,
124,8:25,7,18,25,,,,,
125,8:25,7,14,21,,,,,
126,8:25,11,16,26,,,,,
127,8:26,9,17,26,,,,,
128,8:26,8,19,27,,,,,
129,8:26,7,15,22,,,,,
130,8:26,9,15,24,,,,,
131,8:27,10,14,24,,,,,
132,8:27,7,19,26,,,,,
133,8:27,9,18,27,,,,,
134,8:27,7,19,27,,,,,
135,8:27,9,16,25,,,,,
136,8:27,11,18,28,,,,,
137,8:27,8,18,26,,,,,
138,8:28,8,17,26,,,,,
139,8:28,8,16,25,,,,,
140,8:29,8,16,24,,,,,
141,8:30,11,16,27,,,,,
142,8:30,8,19,26,,,,,
143,8:31,10,15,24,,,,,
144,8:31,10,16,25,,,,,
145,8:31,9,15,24,,,,,
146,8:31,10,17,26,,,,,
147,8:31,10,18,28,,,,,
148,8:32,9,17,26,,,,,
149,8:32,11,20,30,,,,,
150,8:32,9,20,28,,,,,
151,8:32,10,20,29,,,,,
152,8:32,10,16,26,,,,,
153,8:33,10,18,28,,,,,
154,8:33,9,16,24,,,,,
155,8:33,11,15,25,,,,,
156,8:33,10,17,26,,,,,
157,8:33,8,15,22,,,,,
158,8:34,10,17,27,,,,,
159,8:34,11,17,28,,,,,
160,8:34,9,17,25,,,,,
161,8:35,8,16,24,,,,,
162,8:35,10,19,30,,,,,
163,8:35,9,15,24,,,,,
164,8:35,8,15,23,,,,,
165,8:35,8,19,28,,,,,
166,8:35,11,15,26,,,,,
167,8:35,9,14,23,,,,,
168,8:36,10,16,26,,,,,
169,8:36,8,16,24,,,,,
170,8:36,9,14,24,,,,,
171,8:36,10,16,27,,,,,
172,8:37,11,15,25,,,,,
173,8:37,9,15,25,,,,,
174,8:37,11,19,30,,,,,
175,8:37,11,16,27,,,,,
176,8:37,7,16,23,,,,,
177,8:37,8,18,26,,,,,
178,8:37,9,17,27,,,,,
179,8:37,10,16,26,,,,,
180,8:38,11,16,27,,,,,
181,8:38,9,16,25,,,,,
182,8:38,9,14,23,,,,,
183,8:39,7,15,22,,,,,
184,8:39,11,20,31,,,,,
185,8:39,10,19,29,,,,,
186,8:39,8,16,24,,,,,
187,8:39,9,17,26,,,,,
188,8:39,11,16,27,,,,,
189,8:39,11,20,30,,,,,
