Number,Arrival time,X1,X2,X3,,,,,,,
1,8:00,15,17,31,,,X1,X2,X3,,
2,8:00,17,19,37,,MEAN,15,19,34,,
3,8:00,14,18,31,,,,,,,
4,8:00,13,20,33,,,,,,,
5,8:00,12,22,34,,,,,,,
6,8:00,16,20,36,,,,,,,
7,8:01,13,20,33,,,,,,,
8,8:01,16,20,36,,,,,,,
9,8:01,15,19,33,,,,,,,
10,8:02,15,16,32,,,,,,,
11,8:03,12,20,32,,,,,,,
12,8:03,16,19,35,,,,,,,
13,8:03,13,19,32,,,,,,,
14,8:04,15,20,35,,,,,,,
15,8:04,16,22,38,,,,,,,
16,8:05,14,17,31,,,,,,,
17,8:05,16,19,35,,,,,,,
18,8:05,14,20,34,,,,,,,
19,8:06,12,20,33,,,,,,,
20,8:06,16,21,37,,,,,,,
21,8:07,13,18,31,,,,,,,
22,8:07,16,20,36,,,,,,,
23,8:07,15,17,32,,,,,,,
24,8:08,14,20,34,,,,,,,
25,8:08,15,21,36,,,,,,,
26,8:08,17,22,39,,,,,,,
27,8:09,15,22,37,,,,,,,
28,8:09,16,22,38,,,,,,,
29,8:09,16,19,35,,,,,,,
30,8:09,17,17,34,,,,,,,
31,8:10,12,18,30,,,,,,,
32,8:11,16,18,34,,,,,,,
33,8:11,16,20,36,,,,,,,
34,8:11,13,17,30,,,,,,,
35,8:12,12,17,29,,,,,,,
36,8:12,16,22,38,,,,,,,
37,8:12,15,17,31,,,,,,,
38,8:13,15,21,36,,,,,,,
39,8:13,18,19,37,,,,,,,
40,8:13,13,17,30,,,,,,,
41,8:14,12,20,32,,,,,,,
42,8:14,13,18,32,,,,,,,
43,8:15,13,20,34,,,,,,,
44,8:15,13,21,34,,,,,,,
45,8:15,14,21,34,,,,,,,
46,8:16,14,17,30,,,,,,,
47,8:16,18,19,37,,,,,,,
48,8:16,15,17,31,,,,,,,
49,8:17,14,21,36,,,,,,,
50,8:17,18,21,39,,,,,,,
51,8:17,14,19,33,,,,,,,
52,8:17,14,21,35,,,,,,,
53,8:18,12,21,33,,,,,,,
54,8:18,18,17,35,,,,,,,
55,8:19,14,20,34,,,,,,,
56,8:19,15,20,35,,,,,,,
57,8:19,15,19,34,,,,,,,
58,8:20,17,21,38,,,,,,,
59,8:20,18,18,36,,,,,,,
60,8:21,16,19,35,,,,,,,
61,8:21,13,18,30,,,,,,,
62,8:21,17,18,35,,,,,,,
63,8:21,16,16,32,,,,,,,
64,8:21,17,21,38,,,,,,,
65,8:22,18,21,39,,,,,,,
66,8:23,16,17,33,,,,,,,
67,8:23,13,20,33,,,,,,,
68,8:23,15,16,31,,,,,,,
69,8:24,15,19,34,,,,,,,
70,8:24,17,22,39,,,,,,,
71,8:24,14,20,34,,,,,,,
72,8:24,16,16,32,,,,,,,
73,8:25,16,22,38,,,,,,,
74,8:25,13,18,31,,,,,,,
75,8:25,16,20,36,,,,,,,
76,8:26,15,17,31,,,,,,,
77,8:27,14,21,35,,,,,,,
78,8:27,17,22,39,,,,,,,
79,8:27,15,18,33,,,,,,,
80,8:28,13,18,30,,,,,,,
81,8:28,14,17,32,,,,,,,
82,8:28,17,19,36,,,,,,,
83,8:29,15,18,33,,,,,,,
84,8:29,13,22,35,,,,,,,
85,8:29,14,20,34,,,,,,,
86,8:29,15,17,33,,,,,,,
87,8:30,17,21,38,,,,,,,
88,8:30,12,22,34,,,,,,,
89,8:31,16,18,34,,,,,,,
90,8:31,17,18,36,,,,,,,
91,8:32,16,18,34,,,,,,,
92,8:32,13,21,34,,,,,,,
93,8:32,13,16,29,,,,,,,
94,8:33,14,21,35,,,,,,,
95,8:33,14,17,31,,,,,,,
96,8:33,17,22,38,,,,,,,
97,8:33,16,21,37,,,,,,,
98,8:34,15,16,31,,,,,,,
99,8:35,15,19,34,,,,,,,
100,8:35,15,17,32,,,,,,,
101,8:35,13,22,35,,,,,,,
102,8:36,13,18,31,,,,,,,
103,8:36,17,22,39,,,,,,,
104,8:36,14,21,36,,,,,,,
105,8:37,13,18,31,,,,,,,
106,8:37,13,18,31,,,,,,,
107,8:37,14,20,34,,,,,,,
108,8:38,14,22,36,,,,,,,
109,8:39,14,21,35,,,,,,,
110,8:39,13,18,31,,,,,,,
111,8:39,14,19,33,,,,,,,
112,8:39,14,18,32,,,,,,,
113,8:40,14,19,34,,,,,,,
114,8:40,14,20,34,,,,,,,
115,8:40,12,16,29,,,,,,,
116,8:41,15,22,37,,,,,,,
117,8:41,16,18,34,,,,,,,
118,8:41,17,18,36,,,,,,,
119,8:42,13,21,34,,,,,,,
120,8:42,17,17,34,,,,,,,
121,8:42,12,17,29,,,,,,,
122,8:43,17,20,37,,,,,,,
123,8:43,16,18,34,,,,,,,
124,8:44,16,21,37,,,,,,,
125,8:44,18,20,38,,,,,,,
126,8:45,13,20,32,,,,,,,
127,8:45,15,19,34,,,,,,,
128,8:45,14,20,34,,,,,,,
129,8:45,17,21,38,,,,,,,
130,8:46,13,17,30,,,,,,,
131,8:47,17,20,36,,,,,,,
132,8:47,12,18,30,,,,,,,
133,8:48,16,17,33,,,,,,,
134,8:48,15,18,33,,,,,,,
135,8:48,12,17,29,,,,,,,
136,8:48,17,18,35,,,,,,,
137,8:49,13,16,30,,,,,,,
138,8:49,16,19,35,,,,,,,
139,8:49,13,17,29,,,,,,,
140,8:49,15,18,33,,,,,,,
141,8:49,16,17,32,,,,,,,
142,8:50,16,20,37,,,,,,,
143,8:51,13,18,31,,,,,,,
144,8:51,14,19,33,,,,,,,
145,8:51,16,18,34,,,,,,,
146,8:52,13,16,30,,,,,,,
147,8:52,12,21,34,,,,,,,
148,8:53,12,19,32,,,,,,,
149,8:53,16,20,35,,,,,,,
150,8:53,18,18,36,,,,,,,
151,8:54,13,18,31,,,,,,,
152,8:54,18,21,39,,,,,,,
153,8:55,17,19,36,,,,,,,
154,8:55,17,18,35,,,,,,,
155,8:56,17,21,38,,,,,,,
156,8:56,17,19,36,,,,,,,
157,8:56,17,18,36,,,,,,,
158,8:56,17,21,38,,,,,,,
159,8:57,18,19,37,,,,,,,
160,8:57,13,19,32,,,,,,,
161,8:57,14,18,31,,,,,,,
162,8:57,14,16,30,,,,,,,
163,8:58,16,18,34,,,,,,,
164,8:59,17,17,35,,,,,,,
165,8:59,14,18,31,,,,,,,
166,8:59,15,17,33,,,,,,,
167,9:00,16,18,34,,,,,,,
168,9:00,13,19,32,,,,,,,
169,9:00,18,17,34,,,,,,,
170,9:00,16,17,34,,,,,,,
171,9:01,17,21,38,,,,,,,
172,9:01,15,17,32,,,,,,,
173,9:01,17,22,39,,,,,,,
174,9:02,15,17,33,,,,,,,
