Number,Arrival time,X1,X2,X3,,,,,,,
1,8:00,10,29,39,,,X1,X2,X3,,
2,8:00,10,28,38,,MEAN,10,32,42,,
3,8:00,10,30,40,,,,,,,
4,8:00,10,32,42,,,,,,,
5,8:00,10,33,42,,,,,,,
6,8:00,10,31,41,,,,,,,
7,8:01,11,32,43,,,,,,,
8,8:01,10,32,42,,,,,,,
9,8:01,10,30,39,,,,,,,
10,8:01,10,30,40,,,,,,,
11,8:02,11,30,41,,,,,,,
12,8:02,11,36,46,,,,,,,
13,8:02,9,31,40,,,,,,,
14,8:03,11,33,44,,,,,,,
15,8:03,10,33,43,,,,,,,
16,8:03,10,29,38,,,,,,,
17,8:03,11,34,44,,,,,,,
18,8:04,11,32,43,,,,,,,
19,8:04,9,34,43,,,,,,,
20,8:04,10,35,45,,,,,,,
21,8:04,9,31,40,,,,,,,
22,8:05,11,32,43,,,,,,,
23,8:05,10,31,41,,,,,,,
24,8:05,10,30,39,,,,,,,
25,8:06,9,31,40,,,,,,,
26,8:06,10,30,40,,,,,,,
27,8:06,11,32,43,,,,,,,
28,8:06,9,28,38,,,,,,,
29,8:07,10,29,39,,,,,,,
30,8:07,10,29,39,,,,,,,
31,8:07,10,34,44,,,,,,,
32,8:08,11,29,40,,,,,,,
33,8:08,11,35,46,,,,,,,
34,8:08,9,35,44,,,,,,,
35,8:09,10,28,38,,,,,,,
36,8:10,9,31,40,,,,,,,
37,8:10,9,33,42,,,,,,,
38,8:10,9,32,41,,,,,,,
39,8:10,11,31,42,,,,,,,
40,8:10,10,35,46,,,,,,,
41,8:10,9,31,40,,,,,,,
42,8:11,11,31,42,,,,,,,
43,8:11,9,32,41,,,,,,,
44,8:12,10,28,39,,,,,,,
45,8:12,9,31,40,,,,,,,
46,8:13,10,36,46,,,,,,,
47,8:13,9,33,43,,,,,,,
48,8:13,10,30,40,,,,,,,
49,8:13,9,35,44,,,,,,,
50,8:14,10,32,43,,,,,,,
51,8:14,9,33,42,,,,,,,
52,8:14,10,36,46,,,,,,,
53,8:14,10,32,43,,,,,,,
54,8:14,10,32,42,,,,,,,
55,8:14,10,36,46,,,,,,,
56,8:14,10,35,44,,,,,,,
57,8:15,10,36,46,,,,,,,
58,8:15,10,35,45,,,,,,,
59,8:15,11,33,44,,,,,,,
60,8:15,9,30,40,,,,,,,
61,8:15,10,36,46,,,,,,,
62,8:16,10,30,40,,,,,,,
63,8:16,10,31,41,,,,,,,
64,8:16,10,31,40,,,,,,,
65,8:16,9,34,43,,,,,,,
66,8:16,9,33,43,,,,,,,
67,8:17,11,31,42,,,,,,,
