Number,Arrival time,X1,X2,X3,,,,
1,8,3,14,17,,X1,X2,X3
2,8,6,21,26,MEAN,5,19,24
3,8,4,17,21,,,,
4,8,5,20,25,,,,
5,8,3,15,18,,,,
6,8.01,7,24,31,,,,
7,8.01,6,21,27,,,,
8,8.01,6,22,28,,,,
9,8.01,3,14,17,,,,
10,8.01,3,15,19,,,,
11,8.01,7,24,31,,,,
12,8.02,7,23,30,,,,
13,8.02,6,22,28,,,,
14,8.02,6,21,27,,,,
15,8.02,5,19,23,,,,
16,8.02,4,18,22,,,,
17,8.02,6,21,27,,,,
18,8.02,4,16,20,,,,
19,8.03,6,21,27,,,,
20,8.03,4,16,20,,,,
21,8.03,3,14,17,,,,
22,8.03,4,16,19,,,,
23,8.03,4,16,20,,,,
24,8.03,6,23,29,,,,
25,8.03,5,19,24,,,,
26,8.03,7,23,30,,,,
27,8.04,5,18,23,,,,
28,8.04,6,21,27,,,,
29,8.04,6,20,26,,,,
30,8.04,4,16,20,,,,
31,8.04,5,18,22,,,,
32,8.04,4,17,22,,,,
33,8.04,3,14,17,,,,
34,8.04,5,19,23,,,,
35,8.04,7,23,30,,,,
36,8.05,6,21,27,,,,
37,8.05,6,21,26,,,,
38,8.05,3,14,17,,,,
39,8.05,7,23,30,,,,
40,8.05,7,24,31,,,,
41,8.05,6,21,27,,,,
42,8.05,5,19,24,,,,
43,8.06,4,17,21,,,,
44,8.06,5,18,23,,,,
45,8.06,7,24,31,,,,
46,8.06,6,22,28,,,,
47,8.06,5,20,25,,,,
48,8.06,5,18,22,,,,
49,8.06,7,23,29,,,,
50,8.07,7,23,30,,,,
51,8.07,7,23,30,,,,
52,8.07,4,18,22,,,,
53,8.07,5,20,26,,,,
54,8.07,3,14,17,,,,
55,8.08,5,19,24,,,,
56,8.09,3,15,18,,,,
57,8.09,4,16,20,,,,
58,8.1,7,23,30,,,,
59,8.1,4,16,20,,,,
60,8.1,3,15,18,,,,
61,8.1,5,20,26,,,,
62,8.12,5,19,24,,,,
63,8.12,3,14,17,,,,
64,8.12,3,15,18,,,,
65,8.13,3,14,17,,,,
66,8.14,5,18,22,,,,
67,8.15,6,22,28,,,,
68,8.15,6,21,27,,,,
69,8.16,6,22,28,,,,
70,8.16,6,21,27,,,,
71,8.16,5,20,25,,,,
72,8.16,5,20,25,,,,
73,8.16,4,16,20,,,,
74,8.16,4,16,20,,,,
75,8.19,5,19,24,,,,
76,8.18,6,20,26,,,,
77,8.19,6,21,26,,,,
78,8.19,4,16,20,,,,
79,8.19,5,19,23,,,,
80,8.19,6,22,28,,,,
81,8.19,6,21,27,,,,
82,8.2,6,21,27,,,,
83,8.2,7,24,30,,,,
84,8.2,6,20,26,,,,
85,8.23,5,20,25,,,,
86,8.23,3,15,18,,,,
87,8.23,4,16,20,,,,
88,8.24,7,24,30,,,,
89,8.24,6,21,27,,,,
90,8.25,4,16,20,,,,
91,8.25,5,19,24,,,,
92,8.26,5,19,24,,,,
93,8.26,6,22,29,,,,
94,8.27,7,24,31,,,,
95,8.27,5,19,24,,,,
96,8.27,4,17,21,,,,
97,8.28,4,16,20,,,,
98,8.28,3,15,18,,,,
99,8.28,4,16,20,,,,
100,8.31,6,21,27,,,,
101,8.31,3,14,17,,,,
102,8.31,5,19,23,,,,
103,8.31,6,22,28,,,,
104,8.33,4,18,22,,,,
105,8.35,6,20,26,,,,
106,8.37,4,15,19,,,,
107,8.37,4,16,20,,,,
108,8.37,4,16,19,,,,
109,8.37,5,19,24,,,,
110,8.37,4,15,19,,,,
111,8.37,6,20,26,,,,
112,8.38,4,17,21,,,,
113,8.38,5,20,26,,,,
114,8.39,7,24,31,,,,
115,8.4,6,22,29,,,,
116,8.4,3,14,18,,,,
117,8.41,6,22,29,,,,
118,8.41,6,22,28,,,,
119,8.41,5,18,22,,,,
120,8.41,4,17,21,,,,
121,8.41,6,22,28,,,,
122,8.41,3,14,18,,,,
123,8.41,3,14,17,,,,
124,8.42,7,23,29,,,,
125,8.42,6,22,28,,,,
126,8.42,5,18,23,,,,
127,8.44,6,21,27,,,,
128,8.44,4,16,20,,,,
129,8.45,3,14,18,,,,
130,8.45,6,21,26,,,,
131,8.46,6,23,29,,,,
132,8.47,6,21,27,,,,
133,8.48,6,21,26,,,,
134,8.48,5,20,26,,,,
135,8.48,6,21,26,,,,
136,8.48,4,17,21,,,,
137,8.48,4,17,21,,,,
138,8.49,6,21,27,,,,
139,8.49,4,17,22,,,,
140,8.49,4,17,21,,,,
141,8.5,6,22,28,,,,
142,8.51,7,23,30,,,,
143,8.51,5,20,25,,,,
144,8.51,6,22,28,,,,
145,8.51,7,23,30,,,,
146,8.51,6,22,28,,,,
147,8.51,3,14,17,,,,
148,8.52,5,19,24,,,,
149,8.52,3,14,18,,,,
150,8.52,5,19,24,,,,
151,8.52,3,15,19,,,,
152,8.52,4,17,21,,,,
153,8.53,4,17,21,,,,
154,8.53,3,14,17,,,,
155,8.53,3,14,17,,,,
156,8.53,7,23,30,,,,
157,8.53,5,20,25,,,,
158,8.54,5,20,26,,,,
159,8.54,5,20,25,,,,
160,8.55,5,19,24,,,,
161,8.55,7,23,30,,,,
162,8.55,7,23,30,,,,
163,8.56,7,24,30,,,,
164,8.56,5,19,24,,,,
165,8.56,6,21,26,,,,
166,8.56,6,20,26,,,,
167,8.57,4,16,20,,,,
168,8.57,5,20,25,,,,
169,8.57,5,19,24,,,,
170,8.58,6,22,29,,,,
171,8.58,4,17,21,,,,
172,8.58,3,15,18,,,,
173,8.58,5,19,24,,,,
174,8.58,7,23,29,,,,
175,8.59,5,20,25,,,,
176,8.59,5,18,23,,,,
177,9,4,17,21,,,,
178,9,5,18,23,,,,
179,9,4,18,22,,,,
180,9,6,21,26,,,,
181,9.01,5,18,23,,,,
182,9.01,6,20,26,,,,
183,9.03,4,18,22,,,,
184,9.04,4,16,20,,,,
185,9.05,3,15,18,,,,
186,9.06,5,18,23,,,,
187,9.07,3,15,18,,,,
188,9.08000000000001,4,16,19,,,,
189,9.08000000000001,3,15,18,,,,
190,9.08000000000001,4,17,22,,,,
191,9.11000000000001,7,23,30,,,,
192,9.12000000000001,7,23,30,,,,
193,9.12000000000001,5,20,25,,,,
194,9.12000000000001,7,24,31,,,,
195,9.12000000000001,3,15,18,,,,
196,9.13,5,20,25,,,,
197,9.13,6,20,26,,,,
198,9.18000000000002,7,24,31,,,,
199,9.14,4,17,21,,,,
200,9.14,6,22,29,,,,
201,9.15,7,23,30,,,,
202,9.16,3,15,18,,,,
203,9.17,6,23,29,,,,
204,9.19,5,18,23,,,,
205,9.19,4,17,21,,,,
206,9.19,4,17,21,,,,
207,9.19,7,23,29,,,,
208,9.21,6,22,29,,,,
209,9.21,5,18,22,,,,
210,9.21,3,14,17,,,,
211,9.21,4,16,19,,,,
212,9.21,7,24,31,,,,
213,9.21,7,24,31,,,,
214,9.22,6,21,27,,,,
215,9.23,7,23,30,,,,
216,9.24,7,23,30,,,,
217,9.25,5,19,24,,,,
218,9.26,7,23,30,,,,
219,9.27,4,15,19,,,,
220,9.28,6,22,28,,,,
221,9.29,6,21,27,,,,
222,9.3,5,19,24,,,,
223,9.31,5,19,23,,,,
224,9.32,6,20,26,,,,
225,9.33,6,23,29,,,,
226,9.34,6,21,26,,,,
227,9.35,4,16,19,,,,
228,9.36,4,18,22,,,,
229,9.37,6,22,29,,,,
230,9.38,3,15,18,,,,
231,9.39,6,21,27,,,,
232,9.4,7,23,30,,,,
233,9.41,4,17,22,,,,
234,9.42,5,18,23,,,,
235,9.43,4,17,21,,,,
236,9.44,3,14,17,,,,
237,9.45,5,19,24,,,,
238,9.46,5,20,25,,,,
239,9.47,6,21,27,,,,
240,9.48,6,21,27,,,,
241,9.48999999999999,4,16,20,,,,
242,9.49999999999999,3,15,18,,,,
243,9.50999999999999,3,15,18,,,,
244,9.51999999999999,6,21,26,,,,
245,9.52999999999999,4,16,20,,,,
246,9.53999999999999,4,16,19,,,,
247,9.54999999999999,6,20,26,,,,
248,9.55999999999999,4,17,22,,,,
249,9.56999999999999,6,22,28,,,,
250,9.57,7,23,30,,,,
251,9.57,6,21,27,,,,
252,9.57,6,22,29,,,,
253,9.57,6,21,26,,,,
254,9.58,7,23,30,,,,
